"Source:","/Users/calebburton/Documents/GitHub/Ganglion_Hardware_Design_Files/Ganglion_KiCad_Files/Ganglion_01.sch"
"Date:","Sunday, February 25, 2018 'PMt' 03:09:06 PM"
"Tool:","Eeschema 4.0.7"
"Component Count:","99"
"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"B1","JS_2_Battery","OpenBCI:JST_RA_SMT","","",""
"C1","0.1uF","Capacitors_SMD:C_0603","","",""
"C2","0.1uF","Capacitors_SMD:C_0603","","",""
"C3","0.1uF","Capacitors_SMD:C_0603","","",""
"C4","0.1uF","Capacitors_SMD:C_0603","","",""
"C9","22uF","Capacitors_SMD:C_0603","","",""
"C10","1uF","Capacitors_SMD:C_0603","","",""
"C11","1uF","Capacitors_SMD:C_0603","","",""
"C14","1uF","Capacitors_SMD:C_0603","","",""
"C15","0.1uF","Capacitors_SMD:C_0603","","",""
"C16","0.1uF","Capacitors_SMD:C_0603","","",""
"C17","1uF","Capacitors_SMD:C_0603","","",""
"C18","10uF","Capacitors_SMD:C_0603","","",""
"C19","1uF","Capacitors_SMD:C_0603","","",""
"C20","0.1uF","Capacitors_SMD:C_0603","","",""
"C21","0.1uF","Capacitors_SMD:C_0603","","",""
"C22","0.1uF","Capacitors_SMD:C_0603","","",""
"C23","1uF","Capacitors_SMD:C_0603","","",""
"C24","0.1uF","Capacitors_SMD:C_0603","","",""
"C25","1uF","Capacitors_SMD:C_0603","","",""
"C26","0.1uF","Capacitors_SMD:C_0603","","",""
"C27","0.1uF","Capacitors_SMD:C_0603","","",""
"C28","1uF","Capacitors_SMD:C_0603","","",""
"C29","10uF","Capacitors_SMD:C_0603","","",""
"C30","1uF","Capacitors_SMD:C_0603","","",""
"C31","0.1uF","Capacitors_SMD:C_0603","","",""
"C32","0.1uF","Capacitors_SMD:C_0603","","",""
"C33","1uF","Capacitors_SMD:C_0603","","",""
"C34","10uF","Capacitors_SMD:C_0603","","",""
"C35","100uF","Capacitors_SMD:C_1210","","",""
"C36","0.01uF","Capacitors_SMD:C_0603","","",""
"C38","18pF","Capacitors_SMD:C_0603","","",""
"C39","22uF","Capacitors_SMD:C_0603","","",""
"C40","1uF","Capacitors_SMD:C_0603","","",""
"C43","18pF","Capacitors_SMD:C_0603","","",""
"C45","1uF","Capacitors_SMD:C_0603","","",""
"C46","1uF","Capacitors_SMD:C_0603","","",""
"D1","D_Schottky","Capacitors_SMD:C_0603","","",""
"D2","LED","LEDs:LED_0603","","",""
"P1","CONN_02X08","Pin_Headers:Pin_Header_Angled_2x08","","",""
"P2","CONN_01X04","Socket_Strips:Socket_Strip_Straight_1x04","","",""
"P3","CONN_01X04","Socket_Strips:Socket_Strip_Straight_1x04","","",""
"P4","CONN_01X08","Socket_Strips:Socket_Strip_Straight_1x08","","",""
"P5","CONN_01X08","Socket_Strips:Socket_Strip_Straight_1x08","","",""
"R1","1M","Capacitors_SMD:C_0603","","",""
"R2","330K","Resistors_SMD:R_0603","","",""
"R4","330K","Resistors_SMD:R_0603","","",""
"R11","330K","Resistors_SMD:R_0603","","",""
"R12","1M","Capacitors_SMD:C_0603","","",""
"R14","1M","Capacitors_SMD:C_0603","","",""
"R15","100K","Resistors_SMD:R_0603","","",""
"R16","2K","Resistors_SMD:R_0603","","",""
"R17","100K","Resistors_SMD:R_0603","","",""
"R18","2K","Resistors_SMD:R_0603","","",""
"R23","1K","Resistors_SMD:R_0603","","",""
"R24","1K","Resistors_SMD:R_0603","","",""
"R27","100K","Resistors_SMD:R_0603","","",""
"R28","100K","Resistors_SMD:R_0603","","",""
"R30","1M","Capacitors_SMD:C_0603","","",""
"R32","100K","Resistors_SMD:R_0603","","",""
"R33","100K","Resistors_SMD:R_0603","","",""
"R34","500K","Capacitors_SMD:C_0603","","",""
"R36","500K","Capacitors_SMD:C_0603","","",""
"R37","100K","Resistors_SMD:R_0603","","",""
"R38","10K","Resistors_SMD:R_0603","","",""
"R39","100","Resistors_SMD:R_0603","","",""
"R40","1K","Resistors_SMD:R_0603","","",""
"R41","1K","Resistors_SMD:R_0603","","",""
"R42","1M","Resistors_SMD:R_0603","","",""
"R43","1M","Resistors_SMD:R_0603","","",""
"R44","100K","Resistors_SMD:R_0603","","",""
"R45","100K","Resistors_SMD:R_0603","","",""
"R46","100K","Resistors_SMD:R_0603","","",""
"R47","1K","Resistors_SMD:R_0603","","",""
"R49","330K","Resistors_SMD:R_0603","","",""
"SW5","SPDT","OpenBCI:SSSS810701SSSS810701","","",""
"SW6","TACT_SWITCH","OpenBCI:PTS810","","",""
"U1","MCP6V31U","TO_SOT_Packages_SMD:SC-70-5","","",""
"U2","AD8237","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm","","",""
"U3","AD8237","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm","","",""
"U6","LM7332","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm","","",""
"U7","MCP3912","Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm","","",""
"U8","rfd_77101","OpenBCI:RFD77101","","",""
"U9","NCP551","TO_SOT_Packages_SMD:SOT-23-5","","",""
"U10","NCP300","TO_SOT_Packages_SMD:SOT-23-5","","",""
"U11","NCP551","TO_SOT_Packages_SMD:SOT-23-5","","",""
"U12","AD5621","TO_SOT_Packages_SMD:SC-70-6","","",""
"U13","SEEED_microSD","OpenBCI:ST-TF-0003A","","",""
"U14","MCP6V13T","TO_SOT_Packages_SMD:SOT-23-5","","",""
"U15","MCP6001","TO_SOT_Packages_SMD:SC-70-5","","",""
"U18","74LVC1G66","TO_SOT_Packages_SMD:SC-70-5","","",""
"U21","74LVC1G66","TO_SOT_Packages_SMD:SC-70-5","","",""
"U22","74LVC1G66","TO_SOT_Packages_SMD:SC-70-5","","",""
"U23","74LVC2G00","OpenBCI:VSSOP-8","","",""
"U25","MCP6V31U","TO_SOT_Packages_SMD:SC-70-5","","",""
"U26","MCP6V31U","TO_SOT_Packages_SMD:SC-70-5","","",""
"U28","TPD4E1B06","TO_SOT_Packages_SMD:SC-70-6","","",""
"U29","TPD4E1B06","TO_SOT_Packages_SMD:SC-70-6","","",""
"Y1","Crystal_Small","Crystals:Crystal_HC49-SD_SMD","","",""
